;x;new
1;mathematician;mathematician
2;academic;
3;physicist;physicist
4;engineer;engineer
5;neuroscientist;physician
6;education;pedagogy
7;theologian;humanities
8;biologist;biologist
9;computer_scientist;computer_scientist
10;philosopher;philosopher
11;scientist;
12;chemist;chemist
13;explorer;explorer
14;sailor;
15;economist;economist
16;bacteriologist;biologist
17;astronomer;astronomer
18;professor;
19;psychiatrist;physician
20;geographer;geographer
21;psychologist;psychologist
22;anthropologist;anthropologist
23;polymath;
24;climatologist;geographer
25;psychologe;psychologist
26;geologist;geographer
27;linguist;humanities
28;intelligence;
29;zoologist;biologist
30;ornithologist;biologist
31;surgeon;physician
32;science;
33;biochemist;biologist
34;therapist;psychologist
35;physician;physician
36;inventor;inventor
37;botanist;biologist
38;developer;
39;humanist;humanities
40;scholar;
41;historian;humanities
42;entomologist;biologist
43;political_scientist;humanities
44;pharmacist;physician
45;neurologist;physician
46;cartographer;geographer
47;philologist;humanities
48;naturalist;
49;sociologist;humanities
50;physics;physicist
51;anatomist;physician
52;ethologist;humanities
53;aerospace;engineer
54;programmer;computer_scientist
55;logician;mathematician
56;educator;pedagogy
57;archaeologist;humanities
58;astronaut;
59;lexicographer;humanities
60;virologist;physician
61;ecologist;biologist
62;art_historian;humanities
63;psychoanalyst;psychologist
64;docent;
65;cosmonaut;
66;instructor;
67;aeronautical;
68;palaeontologist;humanities
69;pharmacologist;physician
70;nurse;physician
71;doctor;physician
72;geneticist;biologist
73;teacher;
74;physiologist;physician
75;immunologist;physician
76;meteorologist;geographer
77;conquistador;
78;egyptologist;humanities
79;medievalist;humanities
80;mycologist;
81;theorist;
82;statistician;mathematician
83;rector;
84;_marin;
85;intellectual;
86;navigator;
87;professeur;
88;philosophe;philosopher
89;astrophysicist;physicist
90;research;
91;oceanographer;geographer
92;paramedic;physician
93;artificial;
94;classicist;
95;agronomist;
96;medicina;physician
97;musicologist;humanities
98;medical;physician
99;geodesist;
100;nutritionist;
101;diretor;
102;seismologist;
103;lecturer;
104;humanista;humanities
105;horticulturist;
106;inventeur;inventor
107;vulcanologo;geographer
108;ethnologist;humanities
109;aerodynamics;engineer
110;studies;
111;forscher;
112;cirujan;
113;orientalist;humanities
114;arkivarie;
115;colonist;
116;invention;inventor
117;philosophical;philosopher
118;germanist;humanities
119;archivist;humanities
120;indologist;
121;philosophes;philosopher
122;hellenist;
123;mineralogist;geographer
124;pedagog;pedagogy
125;ophthalmologist;
126;political_economy;humanities
127;paediatrician;physician
128;ufologist;
129;anaesthetist;physician
130;pathologist;physician
131;utbildning;
132;epidemiologist;physician
133;naturforscher;
134;wissenschaftler;
135;profesor;
136;adventurer;
137;arachnologist;
138;sinologist;humanities
139;faculty;
140;innovator;inventor
141;grammarian;humanities
142;dentist;physician
143;rettore;
144;läkare;
145;lepidopterist;
146;japanologist;humanities
147;docteur;physician
148;heraldist;
149;slavicist;humanities
150;navigateur;
151;settler;
152;philatelist;
153;genealogist;
154;historiographe;humanities
155;erudito;
156;taxonomist;
157;theosophist;
158;sinologe;humanities
159;theologe;humanities
160;pedagogo;pedagogy
161;dean;
162;chirurgien;physician
163;encyclopedist;humanities
164;kolonist;
165;early_settler;
166;cryptanalyst;
167;paleontologist;humanities
168;psychanalyste;psychologist
169;phrenologist;
170;arzt;physician
171;physiotherapist;physician
172;scientific;
173;criminologist;
174;internist;physician
175;oncologist;physician
176;romanist;humanities
177;ichthyologist;
178;arabist;humanities
179;études;
180;científic;
181;médic;
182;filolog;
183;naturaliste;
184;malacologist;
185;enseignant;
186;vaccine;physician
187;pädagoge;pedagogy
188;gastroenterologist;physician
189;astronom;astronomer
190;philologue;humanities
191;filosofía;philosopher
192;plastic_surgeon;physician
193;apothecary;physician
194;decan;
195;gerontologist;physician
196;hematologist;physician
197;enseignement;
198;fysiolog;
199;geology;geographer
200;musicólogo;humanities
201;lehrer;
202;ethicist;humanities
203;hydrographer;
204;educado;
205;herbalist;
206;filosof;philosopher
207;educación;
208;physique;physicist
209;;
210;radiologist;physician
211;sexologist;
212;homeopath;
213;archaeology;humanities
214;rektor;
215;dynamicist;
216;invented;inventor
217;kemist;chemist
218;vetenskaplig;
219;faculté;
220;teologia;
221;astrónomo;astronomer
222;matemátic;mathematician
223;studi;
224;topographer;geographer
225;statistiker;mathematician
226;medicine;physician
227;dermatologist;physician
228;estatístic;
229;erudite;
230;théoricien;
231;egyptologi;humanities
232;herpetologist;
233;spéléologue;
234;algologist;
235;entwickler;
236;marin;
237;agronom;
238;cardiologist;physician
239;viajero;
240;intelectual;
241;astro;
242;botany;
243;assyriologist;
244;parasitologist;biologist
245;conservationist;
246;sociologue;humanities
247;colegio;
248;savant;
249;psicolog;
250;topographe;
251;maestra;
252;philologe;humanities
253;hispanist;humanities
254;vaccin;physician
255;wissenschaft;
256;genealogista;
257;sociology;humanities
258;estudios;
259;acadêmic;
260;geólog;
261;lärare;
262;museologist;humanities
263;toxicologist;chemist
264;ciencia;
265;seafarer;
266;orientalista;
267;mammalogist;
268;teolog;
269;bryologist;biologist
270;filósof;philosopher
271;erzieher;
272;filólog;humanities
273;físic;
274;erfinder;inventor
275;dialectologist;
276;pediatra;
277;lingüista;
278;ethnograph;humanities
279;lexicógraf;
280;thérapeute;
281;bioinformatician;biologist
282;frontiersman;
283;químic;
284;biolog;biologist
285;latinist;
286;discover;
287;hebraist;
288;mathematics;mathematician
289;historiograf;humanities
290;intellectuel;
291;filosofo;philosopher
292;academia;
293;sprachwissenschaft;humanities
294;insegnante;
295;lichenologist;
296;teaching;
297;médecin;
298;matematica;mathematician
299;manhattan_project;
300;prosaist;humanities
301;estudos;
302;turkologist;humanities
303;byzantinist;humanities
304;umanista;humanities
305;teólog;humanities
306;scientifique;
307;ciência;
308;general_practitioner;physician
309;théologien;
310;urologist;physician
311;artificiale;
312;physik;physicist
313;explorateur;explorer
314;humaniste;humanities
315;hagiographer;
316;dermatologo;physician
317;psychanalyse;psychologist
318;pedagogue;
319;latinista;humanities
320;genetics;biologist
321;cartograf;
322;géographe;
323;ensino;
324;patient;
325;helléniste;
326;filologo;humanities
327;psicologo;psychologist
328;aeronáutica;
329;astronomy;astronomer
330;geograph;geographer
331;érudit;
332;entomology;
333;nephrologist;
334;_lehrer;
335;forschung;
336;musicologue;humanities
337;ispanista;
338;linguista;humanities
339;filología;humanities
340;coptologist;
341;géologue;
342;obstetrician;
343;gelehrte;
344;dekan;
345;philosoph;philosopher
346;maestro;
347;schoolmaster;
348;archéologue;
349;rhetoriker;
350;instituteur;
351;recteur;
352;innovate;inventor
353;académie;
354;aeronautico;
355;demographer;
356;pédagogue;
357;gärtner;
358;psichiatra;psychologist
359;agrónom;
360;chemiker;chemist
361;endocrinologist;
362;geograf;geographer
363;museum_director;
364;biólog;biologist
365;linguiste;humanities
366;biologe;biologist
367;pediatrician;physician
368;botánic;
369;veterinarian;
370;professore;
371;innovation;inventor
372;rhetorician;humanities
373;meteorólog;geographer
374;pedagogista;
375;orientaliste;humanities
376;aéronautique;
377;kolonialverwalter;
378;arqueología;
379;licens;
380;cartógraf;geographer
381;mathématicien;mathematician
382;economista;economist
383;_reitor;
384;physicien;physician
385;antropólog;anthropologist
386;gemolog;
387;botánica;
388;veterinari;
389;penologist;
390;hydrologist;
391;otolaryngologist;
392;arqueólog;
393;anthologist;anthropologist
394;geologe;
395;médical;
396;limnolog;
397;cientista;
398;turkologe;humanities
399;zoologe;biologist
400;seaman;
401;segler;
402;volapükologist;
403;histologist;humanities
404;anthropologe;anthropologist
405;altphilologe;humanities
406;hochschullehrer;
407;luftfahrt;
408;éducatrice;
409;philosophy;philosopher
410;psychiater;psychologist
411;podiatrist;
412;musikwissenschaft;humanities
413;astronome;astronomer
414;zahnarzt;physician
415;crystallographer;
416;archivar;
417;fisioterapeuta;
418;philologin;humanities
419;forschungsreisender;
420;tierarzt;physician
421;anthropologue;anthropologist
422;physiker;physicist
423;pédiatre;
424;hispaniste;humanities
425;embryologist;physician
426;latiniste;humanities
427;institutrice;
428;éducation;
429;biomedical;physician
430;sjöman;
431;aventurier;
432;semitologist;geographer
433;conchologist;physician
434;carcinologist;physician
435;handel;
436;floriculturist;
437;medizinisch;physician
438;patent;
439;antropologo;anthropologist
440;gynecologist;physician
441;orthopedist;physician
442;historien;
443;accademico;
444;archeologist;
445;_recteur;
446;caver;
447;hochschule;
448;myriapodologist;
449;optometrist;
450;explored;
451;medico;physician
452;license;
453;aventurière;
454;traveler;
455;historiographer;humanities
456;papyrology;
457;pediatrics;physician
458;philology;humanities
459;chimiste;chemist